area_type,bath,balcony,price,availability_refined,availibility_due,size_bhk,scale,total_sqft_refined
Super built-up  Area,2,1,51.91,Ready To Move,,2,1,1116
Super built-up  Area,2,1,45.9,Ready To Move,,3,1,1530
Built-up  Area,4,1,225,Ready To Move,,4,1,3700
Built-up  Area,3,2,140,Ready To Move,,3,1,2497
Super built-up  Area,2,3,64,Ready To Move,,3,1,1540
Super built-up  Area,3,1,74.75,Under Construction,Dec,3,1,1436
Super built-up  Area,2,2,75,Under Construction,Jun,2,1,1100
Plot  Area,3,3,23,Ready To Move,,2,1,276
Super built-up  Area,3,2,120,Ready To Move,,3,1,1427
Super built-up  Area,3,1,200,Ready To Move,,3,1,2061
Super built-up  Area,4,0,477,Under Construction,Mar,4,1,5611.5
Built-up  Area,4,2,150,Ready To Move,,4,1,2650
Super built-up  Area,2,2,68.52,Under Construction,Dec,3,1,1282
Built-up  Area,2,1,34,Ready To Move,,2,1,1050
Built-up  Area,3,2,65,Ready To Move,,3,1,1600
Super built-up  Area,2,1,54,Under Construction,Jan,2,1,945
Super built-up  Area,2,1,78,Ready To Move,,2,1,1500
Plot  Area,7,0,115,Ready To Move,,7,1,950
Built-up  Area,3,3,110,Ready To Move,,3,1,1870
Plot  Area,3,1,75,Ready To Move,,3,1,1600
Super built-up  Area,1,1,16.5,Ready To Move,,2,1,880
Plot  Area,4,0,210,Ready To Move,,4,1,1200
Super built-up  Area,3,2,83,Ready To Move,,3,1,1535
Built-up  Area,2,1,57,Ready To Move,,2,1,950
Super built-up  Area,2,1,65,Under Construction,Aug,2,1,1360
Super built-up  Area,2,0,54.005,Under Construction,Mar,2,1,1073.5
Super built-up  Area,3,1,50.4,Under Construction,May,3,1,1280
Super built-up  Area,2,2,85.05,Under Construction,Jan,3,1,1260
Built-up  Area,8,,250,Ready To Move,,8,1,5000
Super built-up  Area,5,1,213,Under Construction,Dec,5,1,3050
Super built-up  Area,3,1,105,Ready To Move,,3,1,1563
Super built-up  Area,2,1,60,Ready To Move,,2,1,1000
Super built-up  Area,2,1,43.76,Under Construction,Jul,2,1,1167
Super built-up  Area,7,2,225,Ready To Move,,7,1,4000
Super built-up  Area,3,,110,Ready To Move,,3,1,1828
Super built-up  Area,2,1,35,Ready To Move,,2,1,890
Super built-up  Area,3,3,46.74,Ready To Move,,3,1,1612
Plot  Area,5,,185,Ready To Move,,6,1,1034
Super built-up  Area,4,2,91.31,Under Construction,Apr,3,1,1710
Super built-up  Area,2,1,58,Ready To Move,,2,1,957
Super built-up  Area,2,3,44,Under Construction,May,3,1,1250
Super built-up  Area,4,,235,Ready To Move,,3,1,2795
Super built-up  Area,2,2,50,Ready To Move,,2,1,1125
Super built-up  Area,2,1,30.6,Under Construction,Jul,2,1,1020
Super built-up  Area,2,2,50,Ready To Move,,2,1,1200
Super built-up  Area,3,3,135,Ready To Move,,3,1,1735
Super built-up  Area,3,1,145,Ready To Move,,3,1,2050
Plot  Area,4,0,760,Ready To Move,,4,1,3750
Built-up  Area,2,3,48,Ready To Move,,3,1,1350
Super built-up  Area,2,1,32,Under Construction,May,2,1,1063
Super built-up  Area,3,1,150,Ready To Move,,3,1,1904
Built-up  Area,4,2,420,Ready To Move,,4,1,4200
Super built-up  Area,3,1,175,Ready To Move,,3,1,2000
Super built-up  Area,2,0,43.49,Under Construction,Dec,2,1,1242.5
Super built-up  Area,2,2,75,Ready To Move,,3,1,1425
Super built-up  Area,2,1,64.5,Ready To Move,,3,1,1500
Built-up  Area,2,1,60,Ready To Move,,2,1,1060
Built-up  Area,2,2,70,Ready To Move,,3,1,1470
Super built-up  Area,6,0,99,Ready To Move,,6,1,1300
Super built-up  Area,1,1,11,Ready To Move,,1,1,450
Super built-up  Area,2,1,64.5,Under Construction,Apr,2,1,1152
Super built-up  Area,2,1,56,Ready To Move,,3,1,1350
Super built-up  Area,3,3,65,Ready To Move,,3,1,1550
Plot  Area,3,2,100,Ready To Move,,3,1,1500
Plot  Area,3,2,85,Ready To Move,,5,1,600
Plot  Area,1,0,14,Ready To Move,,1,1,400
Super built-up  Area,1,2,67,Ready To Move,,1,1,705
Built-up  Area,1,1,36,Ready To Move,,2,1,770
Super built-up  Area,2,3,51,Ready To Move,,2,1,1242
Super built-up  Area,3,2,155,Ready To Move,,3,1,1700
Super built-up  Area,3,2,145,Ready To Move,,3,1,2144
Super built-up  Area,3,2,110,Under Construction,Jun,3,1,1704
Super built-up  Area,2,1,52,Ready To Move,,2,1,1070
Plot  Area,3,2,300,Ready To Move,,3,1,1846
Super built-up  Area,2,2,55.7,Ready To Move,,2,1,1340
Built-up  Area,2,1,46,Ready To Move,,2,1,1025
Super built-up  Area,2,0,56.8,Ready To Move,,2,1,1277.5
Super built-up  Area,2,2,52,Ready To Move,,2,1,1200
Built-up  Area,4,1,110,Under Construction,Dec,4,1,2250
Super built-up  Area,2,3,80,Ready To Move,,3,1,1550
Plot  Area,5,,325,Ready To Move,,4,1,1200
Plot  Area,7,1,250,Ready To Move,,7,1,1800
Super built-up  Area,2,2,60,Ready To Move,,2,1,1200
Super built-up  Area,2,2,98,Ready To Move,,2,1,1327
Super built-up  Area,2,2,58,Ready To Move,,2,1,1186
Built-up  Area,3,1,115,Ready To Move,,3,1,1783
Super built-up  Area,3,2,56,Ready To Move,,3,1,1400
Super built-up  Area,2,1,48,Ready To Move,,2,1,980
Super built-up  Area,2,2,82,Ready To Move,,2,1,1285
Super built-up  Area,2,1,70,Ready To Move,,3,1,912
Built-up  Area,2,2,47.6,Ready To Move,,2,1,1225
Super built-up  Area,2,1,53,Ready To Move,,2,1,1075
Built-up  Area,2,2,54,Ready To Move,,3,1,1260
Super built-up  Area,2,2,48.7,Ready To Move,,3,1,1282
Super built-up  Area,3,2,88,Ready To Move,,3,1,1909
Super built-up  Area,2,1,87,Ready To Move,,2,1,1359
Built-up  Area,2,2,43.5,Ready To Move,,2,1,1207
Plot  Area,6,0,190,Ready To Move,,4,1,1736
Super built-up  Area,4,1,428,Under Construction,May,4,1,2850
Super built-up  Area,3,2,65,Ready To Move,,3,1,1595
Built-up  Area,3,2,89,Under Construction,Jun,3,1,1798
Super built-up  Area,3,2,78.29,Ready To Move,,3,1,1475
Super built-up  Area,3,3,100,Ready To Move,,3,1,1580
Super built-up  Area,2,1,65,Ready To Move,,2,1,1295
Built-up  Area,6,0,141,Ready To Move,,6,1,3600
Super built-up  Area,1,1,27,Ready To Move,,1,1,589
Super built-up  Area,3,3,78,Ready To Move,,3,1,1415
Super built-up  Area,3,2,98.29,Under Construction,Dec,3,1,1787
Super built-up  Area,3,2,125,Ready To Move,,3,1,1787
Super built-up  Area,2,3,90,Ready To Move,,3,1,1475
Built-up  Area,4,1,75.5,Ready To Move,,4,1,2000
Super built-up  Area,2,1,44.28,Under Construction,Mar,2,1,984
Super built-up  Area,,,74.82,Under Construction,Dec,3,1,1630
Super built-up  Area,4,2,260,Ready To Move,,3,1,2405
Built-up  Area,2,2,72,Ready To Move,,2,1,1080
Plot  Area,2,1,115,Ready To Move,,2,1,1500
Super built-up  Area,3,2,119,Ready To Move,,3,1,1900
Super built-up  Area,2,1,22.14,Under Construction,Aug,2,1,805
Super built-up  Area,2,2,56.4,Ready To Move,,2,1,1153
Super built-up  Area,2,2,60,Ready To Move,,2,1,1148
Super built-up  Area,2,2,55,Ready To Move,,2,1,1110
Built-up  Area,2,2,42,Ready To Move,,2,1,1100
Super built-up  Area,2,2,110,Ready To Move,,2,1,1290
Super built-up  Area,2,1,65,Ready To Move,,3,1,1500
Super built-up  Area,2,2,39,Under Construction,Apr,2,1,1080
Super built-up  Area,3,1,129,Under Construction,Jun,3,1,1933
Built-up  Area,5,2,150,Ready To Move,,5,1,3500
Built-up  Area,2,2,60,Ready To Move,,2,1,1060
Super built-up  Area,1,1,16.45,Under Construction,Aug,1,1,645
Plot  Area,8,2,180,Ready To Move,,8,1,2600
Super built-up  Area,1,1,16.45,Under Construction,Sep,1,1,645
Super built-up  Area,3,3,84,Ready To Move,,3,1,1644
Super built-up  Area,2,3,72.5,Ready To Move,,2,1,1285
Plot  Area,3,1,90,Ready To Move,,3,1,1200
Super built-up  Area,2,1,40,Ready To Move,,2,1,910
Super built-up  Area,3,1,70,Ready To Move,,3,1,1577
Plot  Area,3,2,280,Under Construction,May,3,1,4050
Super built-up  Area,3,2,185,Ready To Move,,3,1,2420
Super built-up  Area,1,1,20,Ready To Move,,2,1,800
Built-up  Area,2,2,55,Ready To Move,,2,1,1060
Super built-up  Area,2,2,93,Ready To Move,,2,1,1270
Super built-up  Area,2,2,22.5,Under Construction,Jun,2,1,900
Built-up  Area,2,1,69,Ready To Move,,2,1,1280
Plot  Area,2,0,95,Ready To Move,,4,1,1200
Built-up  Area,2,2,36,Ready To Move,,2,1,1025
Super built-up  Area,2,1,63,Under Construction,Jun,2,1,1108
Plot  Area,5,,170,Ready To Move,,5,1,1200
Super built-up  Area,3,2,170,Ready To Move,,3,1,3045
Plot  Area,3,2,300,Ready To Move,,4,1,2900
Super built-up  Area,3,2,75.5,Ready To Move,,3,1,1500
Super built-up  Area,2,2,43.9,Ready To Move,,2,1,1295
Super built-up  Area,2,1,59.9,Ready To Move,,2,1,1162
Super built-up  Area,2,2,49.2,Ready To Move,,2,1,1035
Built-up  Area,4,0,52.8,Ready To Move,,4,1,1600
Super built-up  Area,3,2,46,Ready To Move,,3,1,1464
Super built-up  Area,2,2,61.58,Under Construction,Oct,3,1,1866
Super built-up  Area,1,1,26,Ready To Move,,2,1,700
Super built-up  Area,3,2,120,Ready To Move,,3,1,1804
Super built-up  Area,2,1,32,Ready To Move,,2,1,913
Super built-up  Area,3,2,131,Under Construction,Dec,3,1,1868
Built-up  Area,2,1,45,Ready To Move,,2,1,883
Plot  Area,2,1,110,Ready To Move,,2,1,900
Super built-up  Area,2,3,73.95,Ready To Move,,3,1,1664
Super built-up  Area,3,2,132,Ready To Move,,3,1,2026
Super built-up  Area,2,1,80.9,Ready To Move,,2,1,1210
Plot  Area,4,2,250,Ready To Move,,4,1,4111
Super built-up  Area,3,3,91.45,Ready To Move,,3,1,1762
Super built-up  Area,3,3,55,Ready To Move,,3,1,1252
Built-up  Area,2,1,34.5,Ready To Move,,2,1,861
Built-up  Area,2,1,100,Ready To Move,,3,1,1420
Plot  Area,6,0,250,Ready To Move,,6,1,1450
Built-up  Area,3,1,78.8,Ready To Move,,3,1,1490
Super built-up  Area,2,1,46,Ready To Move,,3,1,1075
Super built-up  Area,2,2,94,Under Construction,Aug,3,1,1425
Built-up  Area,2,1,40,Ready To Move,,2,1,1200
Super built-up  Area,2,2,56,Ready To Move,,3,1,1280
Super built-up  Area,2,2,50,Ready To Move,,2,1,1084
Super built-up  Area,2,2,25.88,Under Construction,Jul,2,1,1015
Super built-up  Area,2,1,51.25,Under Construction,May,2,1,1017
Super built-up  Area,2,2,44,Ready To Move,,2,1,1027
Super built-up  Area,2,2,45,Ready To Move,,2,1,1069
Super built-up  Area,2,1,98.2,Ready To Move,,2,1,1349
Super built-up  Area,2,1,50,Ready To Move,,2,1,1005
Super built-up  Area,2,3,75,Ready To Move,,2,1,1417
Plot  Area,3,1,98,Under Construction,Jan,3,1,1475
Carpet  Area,2,2,47,Ready To Move,,2,1,950
Super built-up  Area,4,0,120,Ready To Move,,4,1,2000
Plot  Area,3,1,140,Ready To Move,,3,1,880
Super built-up  Area,3,2,104,Ready To Move,,4,1,1863
Super built-up  Area,2,1,29.5,Ready To Move,,2,1,1010
Super built-up  Area,2,1,70,Ready To Move,,3,1,1425
Super built-up  Area,3,0,100,Ready To Move,,3,1,1450
Super built-up  Area,3,2,105,Ready To Move,,3,1,1847
Super built-up  Area,2,3,45,Ready To Move,,2,1,1100
Super built-up  Area,1,1,26,Under Construction,Dec,1,1,525
Super built-up  Area,3,2,95,Ready To Move,,3,1,1665
Super built-up  Area,4,3,65,Ready To Move,,4,1,1664
Super built-up  Area,3,3,150,Ready To Move,,3,1,1850
Super built-up  Area,2,3,100,Ready To Move,,2,1,1438
Super built-up  Area,3,3,115,Ready To Move,,3,1,1560
Super built-up  Area,2,1,55.55,Under Construction,Apr,2,1,1350
Super built-up  Area,3,3,67,Ready To Move,,3,1,1550
Super built-up  Area,2,2,46.5,Under Construction,Apr,2,1,1140
Plot  Area,5,2,180,Ready To Move,,5,1,1200
Super built-up  Area,2,2,27,Under Construction,Dec,2,1,850
Super built-up  Area,2,2,75,Ready To Move,,2,1,1280
Built-up  Area,2,2,52,Ready To Move,,2,1,1170
Super built-up  Area,2,1,51,Ready To Move,,2,1,1113
Super built-up  Area,2,1,83.09,Ready To Move,,2,1,1385
Super built-up  Area,2,1,65,Under Construction,Apr,2,1,1128
Plot  Area,2,2,128,Ready To Move,,2,1,1200
Plot  Area,4,3,165,Ready To Move,,4,1,1200
Super built-up  Area,3,2,415,Ready To Move,,3,1,2390
Plot  Area,4,1,400,Ready To Move,,4,1,2400
Super built-up  Area,3,2,56,Ready To Move,,3,1,1464
Super built-up  Area,2,2,55,Ready To Move,,2,1,1200
Super built-up  Area,2,2,52,Ready To Move,,2,1,1200
Super built-up  Area,2,1,55,Ready To Move,,3,1,1150
Built-up  Area,3,2,95,Ready To Move,,3,1,1645
Super built-up  Area,2,1,67,Under Construction,Mar,2,1,1000
Plot  Area,4,2,198,Ready To Move,,4,1,2650
Super built-up  Area,2,2,74,Ready To Move,,2,1,1192
Super built-up  Area,3,2,215,Ready To Move,,3,1,2135
Super built-up  Area,2,1,58,Under Construction,Dec,2,1,1173
Built-up  Area,2,2,45,Ready To Move,,2,1,1020
Super built-up  Area,6,2,230,Ready To Move,,4,1,3122
Super built-up  Area,3,3,64,Ready To Move,,3,1,1600
Plot  Area,2,0,79,Under Construction,Mar,2,1,1200
Carpet  Area,2,3,48,Ready To Move,,2,1,1230
Super built-up  Area,2,2,40,Ready To Move,,2,1,1250
Super built-up  Area,2,2,76,Ready To Move,,2,1,1325
Built-up  Area,3,1,150,Ready To Move,,3,1,1850
Super built-up  Area,,,21.53,Under Construction,Dec,1,1,525
Super built-up  Area,2,2,65,Ready To Move,,2,1,1200
Plot  Area,2,0,140,Ready To Move,,3,1,1350
Super built-up  Area,3,1,49.36,Under Construction,Jun,3,1,1260
Super built-up  Area,3,0,150,Ready To Move,,3,1,1800
Plot  Area,3,2,74,Under Construction,Dec,3,1,11
Built-up  Area,2,1,43.25,Ready To Move,,2,1,1100
Super built-up  Area,2,1,77,Ready To Move,,2,1,1508
Carpet  Area,3,2,75,Ready To Move,,3,1,1592
Super built-up  Area,2,3,57,Ready To Move,,2,1,1388
Super built-up  Area,1,1,28.35,Under Construction,May,1,1,630
Plot  Area,3,2,365,Ready To Move,,3,1,2000
Super built-up  Area,3,1,125,Ready To Move,,3,1,1762
Super built-up  Area,2,2,50,Under Construction,Dec,2,1,950
Super built-up  Area,5,3,335,Ready To Move,,4,1,3252
Super built-up  Area,2,1,50,Under Construction,Aug,2,1,1116
Super built-up  Area,2,2,89.04,Ready To Move,,2,1,1308
Super built-up  Area,3,0,90,Ready To Move,,3,1,1200
Plot  Area,4,2,230,Ready To Move,,4,1,1500
Built-up  Area,1,1,18.5,Ready To Move,,1,1,500
Super built-up  Area,2,1,52,Ready To Move,,2,1,1075
Super built-up  Area,1,0,11.66,Under Construction,Mar,1,1,530
Built-up  Area,2,3,66,Ready To Move,,2,1,1205
Super built-up  Area,2,2,60,Ready To Move,,2,1,1075
Built-up  Area,2,2,39,Ready To Move,,2,1,930
Super built-up  Area,2,1,60,Ready To Move,,2,1,1380
Super built-up  Area,5,2,212,Ready To Move,,4,1,2483
Built-up  Area,2,2,55,Ready To Move,,2,1,1166
Super built-up  Area,2,1,65,Ready To Move,,2,1,1050
Super built-up  Area,3,2,275,Under Construction,Mar,3,1,2023
Super built-up  Area,2,2,46.8,Ready To Move,,2,1,1200
Super built-up  Area,2,1,108,Ready To Move,,3,1,1600
Super built-up  Area,3,2,110,Ready To Move,,3,1,1935
Super built-up  Area,1,0,29.9,Under Construction,May,1,1,451
Super built-up  Area,3,2,95,Ready To Move,,3,1,1800
Super built-up  Area,3,0,77,Under Construction,May,3,1,1400
Super built-up  Area,3,2,115,Ready To Move,,3,1,1801
Built-up  Area,2,,90,Ready To Move,,2,1,1451
Plot  Area,1,1,36,Under Construction,Jan,2,1,1200
Super built-up  Area,2,2,44,Ready To Move,,2,1,1160
Built-up  Area,2,1,25,Ready To Move,,2,1,1000
Super built-up  Area,2,1,40,Ready To Move,,2,1,950
Built-up  Area,3,2,79,Under Construction,Dec,3,1,1629
Built-up  Area,2,0,134,Ready To Move,,3,1,1580
Super built-up  Area,3,2,121,Under Construction,Jun,3,1,1826
Built-up  Area,2,1,94,Ready To Move,,2,1,1245
Super built-up  Area,2,2,45.79,Ready To Move,,2,1,1145
Super built-up  Area,2,1,33,Ready To Move,,2,1,825
Super built-up  Area,3,3,108,Under Construction,Aug,3,1,1693
Super built-up  Area,2,2,53,Ready To Move,,2,1,1113
Built-up  Area,2,1,58,Ready To Move,,2,1,1460
Built-up  Area,2,1,32,Ready To Move,,2,1,1050
Built-up  Area,2,2,55,Ready To Move,,2,1,1260
Super built-up  Area,3,,120,Ready To Move,,6,1,700
Built-up  Area,2,1,120,Ready To Move,,2,1,1656
Super built-up  Area,3,1,45,Ready To Move,,3,1,1208
Super built-up  Area,3,2,161,Ready To Move,,3,1,1910
Super built-up  Area,4,1,230,Ready To Move,,4,1,3252
Plot  Area,2,1,65,Ready To Move,,2,1,1200
Super built-up  Area,4,1,175,Ready To Move,,4,1,1200
Super built-up  Area,2,1,82,Ready To Move,,2,1,1175
Plot  Area,2,0,165,Ready To Move,,2,1,1000
Plot  Area,2,0,125,Ready To Move,,4,1,1200
Super built-up  Area,3,2,410,Ready To Move,,3,1,2390
Super built-up  Area,6,3,2200,Under Construction,Jan,7,1,12000
Plot  Area,1,1,62,Ready To Move,,2,1,550
Super built-up  Area,1,0,18.5,Ready To Move,,1,10.8,367.2
Super built-up  Area,2,,38,Ready To Move,,2,1,1185
Super built-up  Area,2,1,38,Ready To Move,,2,1,750
Plot  Area,7,3,250,Ready To Move,,6,1,1200
Super built-up  Area,3,3,64.5,Ready To Move,,3,1,1550
Built-up  Area,3,2,88,Ready To Move,,3,1,1760
Super built-up  Area,2,2,62,Ready To Move,,2,1,1125
Plot  Area,3,2,150,Ready To Move,,3,1,1350
Plot  Area,2,1,55,Under Construction,Dec,2,1,1000
Built-up  Area,2,2,31.48,Under Construction,Aug,2,1,1090
Plot  Area,2,0,60,Ready To Move,,2,1,1200
Super built-up  Area,4,2,103,Ready To Move,,3,1,1991
Super built-up  Area,2,1,26.5,Under Construction,Oct,2,1,1060
Super built-up  Area,2,1,75,Ready To Move,,2,1,1105
Built-up  Area,2,2,67,Ready To Move,,2,1,985
Plot  Area,5,3,85,Ready To Move,,6,1,1533
Super built-up  Area,3,2,79,Under Construction,Jul,3,1,1590
Super built-up  Area,2,2,55,Ready To Move,,2,1,1120
Super built-up  Area,2,1,55,Ready To Move,,2,1,1069
Super built-up  Area,3,2,140,Ready To Move,,3,1,1933
Built-up  Area,2,0,69,Under Construction,Mar,2,1,1194
Super built-up  Area,2,3,69,Ready To Move,,2,1,1150
Super built-up  Area,2,2,47.12,Ready To Move,,2,1,1240
Super built-up  Area,2,2,48.1,Ready To Move,,2,1,1419
Plot  Area,8,,250,Ready To Move,,8,1,1200
Super built-up  Area,4,,240,Ready To Move,,3,1,2150
Super built-up  Area,3,2,55,Ready To Move,,3,1,1450
Super built-up  Area,3,2,68.29,Under Construction,Jul,3,1,1630
Super built-up  Area,1,1,40,Ready To Move,,2,1,708
Plot  Area,4,3,110,Ready To Move,,3,1,1000
Plot  Area,4,3,700,Ready To Move,,4,1,11890
Super built-up  Area,2,1,76,Ready To Move,,2,1,1250
Super built-up  Area,2,1,95,Ready To Move,,3,1,1400
Super built-up  Area,2,3,57,Ready To Move,,3,1,1670
Super built-up  Area,3,2,100,Ready To Move,,3,1,1750
Super built-up  Area,2,1,71,Ready To Move,,2,1,1404
Super built-up  Area,2,2,95,Ready To Move,,3,1,1715
Built-up  Area,1,1,34.65,Under Construction,Apr,1,1,630
Super built-up  Area,3,2,135,Ready To Move,,3,1,1752
Super built-up  Area,3,2,78,Ready To Move,,3,1,1650
Super built-up  Area,2,1,55.47,Ready To Move,,2,1,1295
Plot  Area,3,2,252,Ready To Move,,3,1,1800
Super built-up  Area,2,1,74.03,Under Construction,Sep,2,1,1346
Plot  Area,4,2,200,Ready To Move,,4,1,1200
Super built-up  Area,2,2,55,Ready To Move,,2,1,1150
Built-up  Area,4,3,325,Ready To Move,,4,1,3309
Super built-up  Area,2,2,30.35,Under Construction,May,3,1,1190
Super built-up  Area,3,2,98,Ready To Move,,3,1,1620
Super built-up  Area,2,1,46.96,Under Construction,Apr,2,1,950
Super built-up  Area,9,3,360,Ready To Move,,11,1,5000
Super built-up  Area,3,0,120,Ready To Move,,3,1,2450
Super built-up  Area,2,1,35.23,Under Construction,May,3,1,1220
